2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
1,1,1,0,0,1,1,0,1,0,1,1,1,1,3,0,3,0,1,1,0,3,2,3,1,0,1,2
4,1,4,4,4,1,4,4,4,1,4,4,4,2,4,4,4,1,4,4,4,2,4,4,4,1,4,4
2,1,0,0,1,1,1,0,3,3,3,3,3,3,2,3,4,3,4,3,3,2,3,2,3,2,2,2
3,2,1,1,3,2,2,2,3,3,3,3,4,3,3,3,2,4,4,4,3,3,4,3,3,4,3,3
4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,2,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,4,4,4,3,4,4,4,4,4
3,3,3,4,3,3,3,4,4,3,3,2,2,2,3,2,3,1,2,3,4,3,2,3,3,3,3,3
2,2,3,3,2,2,1,2,2,3,2,0,0,1,1,1,1,0,0,1,2,1,0,2,1,2,2,1
0,1,2,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,0,1,1,0,2,1,0,3,0,0,1,0,0,0,0,0,0,0
