2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
31.92,32.11,32.25,32.03,32.05,32.16,32.23,32.67,32.85,28.92,31.94,32.36,32.5,32.28,32.57,29.54,33.09,29.8,30.6,31.14,29.83,31.97,31.9,29.83,30.01,29.78,29.58,31.87
31.92,32.17,32.22,32.09,32.08,32.18,32.21,32.54,32.88,28.92,31.95,32.39,32.53,32.46,32.75,29.55,33.29,29.88,30.85,31.11,29.79,32.16,32.4,29.87,30.05,29.8,29.52,31.85
31.91,32.2,32.19,32.12,32.08,32.19,32.2,32.37,32.94,29.02,31.93,32.4,32.55,32.46,32.94,29.55,33.42,29.82,30.85,31.04,29.85,32.18,32.5,29.87,30.09,29.83,29.4,31.84
31.9,32.27,32.17,32.15,32.09,32.18,32.19,32.27,33,29.2,31.92,32.38,32.55,32.44,33.01,29.62,34.26,29.85,30.9,31,30.03,32.15,32.46,30.06,30.11,29.87,29.86,31.83
31.89,32.32,32.15,32.16,32.08,32.18,32.2,32.3,33.05,29.26,31.91,32.39,32.56,32.39,33.04,29.63,34.66,29.93,30.98,30.96,30.1,32.21,32.48,30.15,30.18,29.9,29.85,31.82
31.89,32.32,32.14,32.22,32.08,32.21,32.35,32.33,33.09,29.3,31.9,32.43,32.55,32.33,33.15,29.63,34.9,30.05,31.05,30.99,30.15,32.3,32.36,30.5,30.25,29.93,30.02,31.81
31.88,32.3,32.13,32.25,32.07,32.24,32.68,32.34,33.13,29.36,31.93,32.45,32.56,32.27,33.31,29.63,35.26,30.17,31.09,31.03,30.19,32.6,32.2,31.54,30.31,29.95,30.3,31.87
31.87,32.51,32.11,32.23,32.04,32.27,32.49,32.31,33.17,29.46,31.93,32.43,32.56,32.2,33.44,29.63,35.08,30.32,31.15,31.08,30.29,32.98,32,32,30.34,30.01,30.63,31.86
31.86,32.6,32.1,32.26,32.02,32.29,32.37,32.25,33.19,29.51,31.92,32.39,32.54,32.18,33.59,29.63,34.74,30.43,31.22,31.12,30.49,33.03,31.8,32.3,30.37,30.5,30.7,31.82
31.86,32.21,32.08,32.23,32.02,32.27,32.24,32.18,33.21,29.56,31.91,32.39,32.53,32.13,33.79,29.62,34.38,30.52,31.36,31.12,30.6,33.2,31.55,32.82,30.4,30.33,30.92,31.8
