2017	2016	2015	2014	2013	2012	2011	2010
31.92	32.11	32.25	32.03	32.05	32.16	32.23	32.67
31.92	32.17	32.22	32.09	32.08	32.18	32.21	32.54
31.91	32.2	32.19	32.12	32.08	32.19	32.2	32.37
31.9	32.27	32.17	32.15	32.09	32.18	32.19	32.27
31.89	32.32	32.15	32.16	32.08	32.18	32.2	32.3
31.89	32.32	32.14	32.22	32.08	32.21	32.35	32.33
31.88	32.3	32.13	32.25	32.07	32.24	32.68	32.34
31.87	32.51	32.11	32.23	32.04	32.27	32.49	32.31
31.86	32.6	32.1	32.26	32.02	32.29	32.37	32.25
31.86	32.21	32.08	32.23	32.02	32.27	32.24	32.18
31.87	32.06	32.07	32.18	32.02	32.24	32.21	32.08
31.87	32.02	32.06	32.05	32.02	32.21	32.17	32.01
31.88	31.96	32.05	31.95	32.03	32.18	32.19	32.17
31.88	31.98	32.1	31.96	32.04	32.15	32.18	32.26
31.89	32.32	32.11	31.97	32.05	32.12	32.15	32.52
31.9	32.26	32.36	32.01	32.06	32.11	32.1	32.56
31.9	32.17	32.28	32.04	32.15	32.13	32.04	32.58
31.89	32.12	32.17	32.02	32.2	32.14	32.18	32.59
31.89	32.08	32.18	32.1	32.45	32.15	32.2	32.56
31.88	32.05	32.14	32.19	32.63	32.18	32.22	32.66
31.88	32.03	32.21	32.2	32.37	32.21	32.22	32.67
31.87	32	32.27	32.18	32.25	32.23	32.24	32.63
31.87	31.99	32.34	32.2	32.33	32.25	32.23	32.7
31.86	31.94	32.34	32.15	32.27	32.27	32.21	32.85
31.86	31.9	32.31	32.14	32.13	32.3	32.21	32.91
31.86	32	32.26	32.13	32.14	32.31	32.19	32.88
31.86	32.02	32.21	32.11	32.08	32.34	32.15	32.83
31.87	32.08	32.16	32.17	32.15	32.312	32.17	32.75
31.88	32.24	32.12	32.16	32.05	32.27	32.14	32.67
31.88	32.23	32.17	32.23	32.02	32.23	32.12	32.71
31.89	32.23	32.34	32.18	32	32.18	32.1	32.75
31.92	32.23	32.51	32.18	31.98	32.13	32.14	32.78
31.94	32.21	32.57	32.25	32.15	32.11	32.18	32.75
32.08	32.19	32.57	32.25	32.32	32.07	32.17	32.7
32.3	32.18	32.56	32.15	32.34	32.08	32.16	32.65
32.29	32.15	32.46	32.44	32.32	32.08	32.18	32.67
32.18	32.1	32.33	32.31	32.3	32.09	32.19	32.64
32.21	32.23	32.35	32.33	32.3	32.14	32.19	32.59
32.23	32.23	32.33	32.35	32.18	32.19	32.18	32.54
32.19	32.23	32.21	32.5	32.13	32.21	32.17	32.59
32.19	32.28	32.22	32.56	32.04	32.25	32.16	32.64
32.23	32.47	32.22	32.64	32.09	32.27	32.15	32.64
32.23	32.39	32.14	32.61	32.12	32.29	32.17	32.63
32.24	32.35	32.06	32.41	32.15	32.31	32.16	32.7
32.24	32.15	32.04	32.28	32.2	32.31	32.28	32.72
32.27	32.09	32.04	32.3	32.17	32.33	32.18	32.72
32.27	32.04	32.05	32.23	32.25	32.28	32.14	32.73
32.26	31.92	32.08	32.05	32.3	32.25	32.25	32.71
32.24	32.08	32.09	32.16	32.34	32.21	32.28	32.7
32.25	32.16	32.06	32.14	32.26	32.15	32.26	32.7
32.24	32.14	32.02	32.15	32.21	32.13	32.22	32.69
32.26	32.09	32.07	32.17	32.18	32.08	32.22	32.66
32.26	32.06	32.12	32.13	32.17	32.03	32.2	32.84
32.27	32.08	32.14	32.07	32.17	32.03	32.18	33.03
32.26	32.06	32.13	31.97	32.15	32.04	32.17	33.14
32.25	32.11	32.11	32.06	32.13	32.04	32.18	33.26
32.24	32.06	32.07	32.14	32.13	32.05	32.17	33.36
32.23	32.06	32.06	32.13	32.14	32.05	32.18	33.11
32.23	32.18	32.03	32.13	32.14	32.06	32.17	33.38
	32.2				32.07		
32.24	32.13	32	32.1	32.13	32.08	32.17	33.37
32.24	32.05	31.97	32.23	32.12	32.08	32.15	33.03
32.25	32.11	31.98	32.29	32.1	32.08	32.18	32.66
32.23	32.1	32.1	32.34	32.08	32.08	32.2	32.36
32.2	32.16	32.18	32.33	32.08	32.1	32.22	32.33
32.17	32.2	32.2	32.32	32.08	32.11	32.23	32.15
32.2	32.22	32.21	32.27	32.1	32.11	32.23	32.05
32.22	32.21	32.22	32.31	32.3	32.12	32.22	32.01
32.23	32.16	32.22	32.33	32.2	32.14	32.2	31.98
32.23	32.16	32.2	32.35	32.29	32.15	32.19	32.01
32.22	32.16	32.16	32.27	32.35	32.16	32.17	32.01
32.23	32.17	32.11	32.25	32.47	32.16	32.14	31.99
32.25	32.15	32.07	32.22	32.41	32.16	32.14	31.98
32.25	32.12	32.03	32.19	32.33	32.16	32.15	31.97
32.24	32.07	31.95	32.14	32.24	32.15	32.16	31.95
32.23	32.19	31.87	32.09	32.21	32.15	32.2	31.93
32.21	32.14	31.9	32.05	32.23	32.16	32.25	31.97
32.19	32.14	31.95	32.1	32.2	32.19	32.21	31.99
32.17	32.15	31.96	32.13	32.2	32.21	32.21	31.99
32.16	32.15	31.97	32.14	32.21	32.22	32.19	31.99
32.15	32.14	31.97	32.14	32.19	32.23	32.17	32
32.18	32.11	31.97	32.14	32.18	32.23	32.16	32
32.25	32.13	31.97	32.15	32.21	32.23	32.15	31.98
32.39	32.14	31.96	32.15	32.21	32.23	32.15	31.96
32.39	32.12	31.98	32.14	32.23	32.23	32.15	31.98
32.36	32.12	31.98	32.16	32.33	32.24	32.14	32.01
32.33	32.19	32.04	32.18	32.4	32.23	32.16	32.02
32.3	32.22	32.05	32.18	32.31	32.23	32.19	32.01
32.3	32.29	32.05	32.16	32.21	32.23	32.18	31.99
32.3	32.65	32.04	32.14	32.32	32.23	32.16	32.03
32.3	33.04	32.03	32.13	32.32	32.23	32.17	32.05
32.4	33	32.09	32.23	32.29	32.22	32.23	32.19
32.49	32.96	32.13	32.33	32.39	32.21	32.28	32.27
32.54	32.91	32.17	32.42	32.57	32.2	32.33	32.4
32.61	32.98	32.2	32.48	32.79	32.21	32.37	32.54
32.68	32.99	32.23	32.53	32.99	32.22	32.42	32.64
32.76	32.93	32.25	32.56	33.12	32.22	32.46	32.76
32.84	32.95	32.27	32.59	33.18	32.23	32.5	32.88
32.9	32.95	32.32	32.65	33.26	32.25	32.53	33.02
32.96	32.9	32.35	32.71	33.42	32.25	32.56	33.14
33.01	32.88	32.42	32.8	33.54	32.26	32.59	33.23
33.05	32.95	32.48	32.88	33.72	32.28	32.62	33.31
33.09	32.96	32.53	32.95	34.07	32.31	32.64	33.38
33.12	32.96	32.56	33.02	34.21	32.36	32.66	33.44
33.15	32.89	32.59	33.07	34.26	32.42	32.67	33.48
33.17	32.85	32.63	33.14	34.28	32.5	32.69	33.51
33.19	32.97	32.67	33.17	34.25	32.57	32.69	33.55
33.21	33.3	32.72	33.21	34.25	32.59	32.69	33.58
33.22	33.39	32.75	33.25	34.22	32.65	32.69	33.61
33.23	33.27	32.78	33.28	34.23	32.84	32.73	33.64
33.25	33.23	32.81	33.31	34.22	33.01	32.82	33.65
33.28	33.26	32.84	33.34	34.19	33.12	32.91	33.65
33.31	33.22	32.88	33.39	34.14	33.23	32.99	33.71
33.33	33.14	32.9	33.44	34.09	33.32	33.11	33.77
33.35	33.14	32.93	33.5	34.09	33.41	33.37	33.84
